Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),布農族測試,,,Echo,2025/03/04,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院測試,,,Echo,2025/03/04,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康測試,,,Echo,2025/03/04,未开始,,,,,,Not started,,,,,,,,,,,,
,喬思齊高球營運商角色會議,嘉瑜/文復,,Sunny,2025/03/04,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下PNS2.0測試,,,Echo,2025/03/04,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),後台顏色顯示調整,,,"Echo, Ing",2025/03/04,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),頁面調整、資料匯入,,,姿樺,2025/03/06,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),銷貨單資料維護,,,姿樺,2025/03/04,未开始,,,,,,Not started,,,,,,,,,,,,
iii Find科技服務工具 (https://www.notion.so/iii-Find-1842fd085e5f80daa2c0daaab0290832?pvs=21),FIND科技工具正式上線,預計2025/3/3(一)喬思齊的科技工具正式提供給FIND平台對外服務,,"Echo, Sunny",2025/03/03,未开始,,,,,,Not started,,,,,,,,,,,,
森福德 (https://www.notion.so/80e5802e2a834806a53ad06f98fd3a3a?pvs=21),年後森福德巡迴,,,"Echo, Sunny",2025/03/03,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康產品後台交付測試,,,,2025/02/28,未开始,,,,,,Not started,,,,,,,,,,,,
,律師公會拜訪,羅斯福路一段7號,,"Echo, Miles, Sunny",2025/02/27 14:00 (GMT+8) → 14:00,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),預算/績效會議,,,"Echo, Miles",2025/02/27 11:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),需求會議,"加入Zoom會議
https://zoom.us/j/99939764161?pwd=ast2xd5SiLAH8wtapBDFQMzbugABIM.1
會議ID: 999 3976 4161
密碼: 683677",,"Echo, Sunny",2025/02/27 10:30 (GMT+8) → 11:30,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),股權/專案頁面製作,,,Miles,2025/02/27,未开始,,,,,,Not started,,,,,,,,,,,,
龍爵士 (https://www.notion.so/1842fd085e5f802f8bdaddf702aabe8f?pvs=21),遠端搖控影片,,,"Echo, Jason, 小溫",2025/02/27,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),忘記密碼流程,,,Ing,2025/03/05,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),前台UI調整,,,"Echo, Ing",2025/02/27,未开始,,,,,,Not started,,,,,,,,,,,,
嘉翰科技 (https://www.notion.so/17e2fd085e5f80da9010c337aa56f9bf?pvs=21),工廠數據分析,數據畫面 https://drive.google.com/drive/folders/1zqdlFrFV2ak8cmypHEsn397PRKNRYXZA?usp=sharing,,Jason,2025/02/27,未开始,,,,,,Not started,,,,,,,,,,,,
睿德-宏捷節能 (https://www.notion.so/0e86b821d3944ae39e0ce7bfdff9777f?pvs=21),報表頁面產生,,,Jason,2025/02/27,未开始,,,,,,Not started,,,,,,,,,,,,
,太魯閣族競賽需求,已提供公司資料供參考-7月比賽,,,2025/02/27,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),銷貨單資料維護,,,姿樺,2025/02/27,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),報表會議,匯總表/列印識別證,,"Sunny, VC",2025/02/26,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),布農族前台檔案新增,,,"Echo, VC",2025/02/26,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),業務需求拜訪,,,"Echo, Sunny",2025/02/25 15:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
環成資訊 (https://www.notion.so/18f2fd085e5f80a89198cc34b79d8f98?pvs=21),環成來訪,要申請通過才會進行-上限80萬 (喬-16 萬),,Sunny,2025/02/25 10:30 (GMT+8) → 11:30,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),布農族視訊會議,,,"Echo, VC",2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
睿德-宏捷節能 (https://www.notion.so/0e86b821d3944ae39e0ce7bfdff9777f?pvs=21),宏捷節能,,,Jason,2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
,虎林街清空,,,Jason,2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院,,,Miles,2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),頁面製作,,,姿樺,2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
,文策院前台,,,Ing,2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
,公司招牌,,,小溫,2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
,AI繪圖軟體安裝測試,,,小溫,2025/02/25,未开始,,,,,,Not started,,,,,,,,,,,,
嘉翰科技 (https://www.notion.so/17e2fd085e5f80da9010c337aa56f9bf?pvs=21),嘉翰業務拜訪,"智能工廠-地端建置
",,"Jason, Sunny",2025/02/24 14:30 (GMT+8) → 16:30,未开始,,,,,,Not started,,,,,,,,,,,,
25104 海底映像 (https://www.notion.so/25104-17e2fd085e5f802ba4dfd4f33caa3bbc?pvs=21),海底映象來訪,,,Sunny,2025/02/21 16:00 (GMT+8) → 17:00,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),進度需求會議,,,"Echo, Sunny, VC, 姿樺",2025/02/21 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
生活服務業科技創新應用輔導案 (https://www.notion.so/19f2fd085e5f80978286c96d11a85ff2?pvs=21),生活服務業科技創新應用輔導案,"📅 收件截止：114年3月7日（五）下午5點
🚀 申請對象：洗滌、家事、移動、娛樂、健康、美容等生活服務業者
📜 申請須知：👉 https://www.aoc.gov.tw/showPublic/330",,"Echo, Sunny",2025/02/21 11:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
"25109 數轉院 行動智慧應用 輔導案 (淑姿) (https://www.notion.so/25109-17b2fd085e5f801e8ec1e7405c385765?pvs=21), 森福德 旅宿業 行動智慧應用推廣  (https://www.notion.so/1b52fd085e5f803fa421e9da1c036d2b?pvs=21)",森福德討論會議,"森福德
1.簡訊-KPI十萬則，訊息/MAIL也可以
簡訊主導權在業者身

http://2.to/ C官網維護權歸誰?
*  用api串,直接抓後台資料（房間數/房價/民宿資料）
分潤再討論
* 購物車

3.100家-優化服務廠商也算

初擬草案成效目標
1.房務
*   入住流程減少30%
-   方案一：換智慧門鎖
-   方案二：密碼櫃（放鑰匙）
-   方案三：行動自助報到後，到櫃檯拿鑰題
* 節省水電費20%，若無安裝節電裝置無法達成.
- 5家業者示範-免費提供遠端搖控控溫
* 滿意度90%
2.即時多語翻譯
3.智慧旅遊助理
* 新增KPI-森福德提供串接服務(GHA),可以幫民宿業者每月省下十至數十萬佣金
* 轉換率10%-訂了房又去租車,又去買tour..伴手禮
* 套裝行程200個以上(應該是產品)-使用AI去推薦購買產品--業者的加購項目
* 智慧推薦滿意度90%


森福德提供API：
1.聯合訂房網API
2.自助報到API

喬思齊提供API：
1.智能客服
2.即時翻譯

業者合作意向書
1.簡訊數量提供統計-每家1000則. (共十萬)
2.補助金額多少
3.業者要配合提供滿意度調查
http://4.to/ C的通路-是否可以向業者收取佣金(4-7月免費)

森福德喬思齊合作意向書",,"Echo, Sunny",2025/02/21 10:00 (GMT+8) → 11:00,未开始,,,,,,Not started,,,,,,,,,,,,
,新住民翻譯??,現在要??,,Sunny,2025/02/21,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),figma,約需求訪談,,Anita,2025/03/06,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),測試,3/5上線,,Anita,2025/03/06,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),測試,3/4會議修正測試,,Anita,2025/03/06,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),會議,"需更新的檔案以及excel範本已放在雲端
https://drive.google.com/drive/folders/1m65we0CX2SGKT2Uuzq6fzs8KIflXVNLW?usp=drive_link",,Anita,2025/03/24,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),會議,第三階段交付文件,,Anita,2025/03/24,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),修改文件,第三階段交付文件修改,,Anita,2025/03/24,未开始,,,,,,Not started,,,,,,,,,,,,
,文件修改,阿里山簡報排版,,Anita,2025/03/24,未开始,,,,,,Not started,,,,,,,,,,,,
,文件修改,ai課程簡報,,Anita,2025/03/24,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),三月季維護,,,Brian,2025/03/30,未开始,,,,,,In progress,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),維護進行中,,,Brian,2025/03/30,未开始,,,,,,In progress,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),前後台優化,,,Brian,2025/03/30,未开始,,,,,,Not started,,,,,,,,,,,,
,Task,,,Anita,2025/03/27,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),布農族進度,秩序冊已完成，正在問獎狀,,Anita,2025/03/27,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),後續調整事項,"1. 基本維運費：依據行政院規定，維運費比例不得高於14%，且每年不得高於前一年度。故明年維運費最高可給付貴公司為系統成本*14%
2. 功能擴充費：依據本院提出的開發需求進行人力及天數的計算，請提供各工項的人天單價給我們做計算參考，謝謝!",,Anita,2025/03/27,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),PNS2.0,"review一下後台的部份
API",,Echo,2025/02/20 14:30 (GMT+8) → 15:30,未开始,,,,,,Not started,,,,,,,,,,,,
環成資訊 (https://www.notion.so/18f2fd085e5f80a89198cc34b79d8f98?pvs=21),資策會業務拜訪,,,Sunny,2025/02/20 14:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
神通資訊_智慧城市 (https://www.notion.so/_-1912fd085e5f802db1c3ecc433839589?pvs=21),神通需求會議,,,"Miles, Sunny",2025/02/20 11:00 (GMT+8) → 12:00,未开始,,,,,,Not started,,,,,,,,,,,,
瓦協MIS維護 (https://www.notion.so/MIS-623719e63db34c33999dee33ebca6e67?pvs=21),瓦協固定維護,,,"Brian, Sam",2024/09/19,未开始,,,,,,Not started,,,,,,,,,,,,
瓦協MIS維護 (https://www.notion.so/MIS-623719e63db34c33999dee33ebca6e67?pvs=21),瓦協資安訪談,,,"Brian, Jason, Sunny",2024/10/03 14:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),季維護報告及內部交接給Brain,,,"Brian, Sam, VC",2024/09/30,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工維護記錄檔案提供,,,"Brian, Sam",2024/10/01,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),記憶體問題排查,,,"Brian, Sam, VC",2024/09/13,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),提醒花蓮1999窗口開vpn,,,"Brian, Sam",2024/09/30,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康教育訓練-應用方案/FAQ/開發工具,,,"Brian, Echo",2025/02/20 10:30 (GMT+8) → 11:30,未开始,,,,,,Not started,,,,,,,,,,,,
睿德-宏捷節能 (https://www.notion.so/0e86b821d3944ae39e0ce7bfdff9777f?pvs=21),期末報告,,,Sunny,2025/02/20 10:00 (GMT+8) → 11:00,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),兩份報表上線,,,"Echo, VC",2025/02/20,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),進貨單資料維護頁面製作,,,姿樺,2025/02/20,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),"1_談官網底色
2_討論付款條件./2/14前
3_約工作坊時段/主題(20人內)",,,"Echo, Ing, Sunny",2025/02/19 13:30 (GMT+8) → 14:30,未开始,,,,,,Not started,,,,,,,,,,,,
睿德-宏捷節能 (https://www.notion.so/0e86b821d3944ae39e0ce7bfdff9777f?pvs=21),智能客服訓練,,,Echo,2025/02/19,未开始,,,,,,Not started,,,,,,,,,,,,
瓦協官網維護 (https://www.notion.so/10c2fd085e5f80b6a864c40913540cbe?pvs=21),瓦協會務資訊更新,,,Ing,2025/02/19,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),智能客服訓練,,,Echo,2025/02/19,未开始,,,,,,Not started,,,,,,,,,,,,
神通資訊_智慧城市 (https://www.notion.so/_-1912fd085e5f802db1c3ecc433839589?pvs=21),神通智能客服建置,,,"Brian, Echo",2025/02/19,未开始,,,,,,Not started,,,,,,,,,,,,
睿德-宏捷節能 (https://www.notion.so/0e86b821d3944ae39e0ce7bfdff9777f?pvs=21),一頁式網站,,,Ing,2025/02/19,未开始,,,,,,Not started,,,,,,,,,,,,
,週三週會討論議題,"1.神通
  -智慧城市
2.iii森福德
3.島嶼
  -系統
  -智能客服
4.AI工具包
5.智能客服+api知識庫
6.新住民 AI智能客服及語音翻譯委外服務案",,Sunny,2025/02/19,未开始,,,,,,Not started,,,,,,,,,,,,
台灣觀巴 網站及系統升級 (https://www.notion.so/1972fd085e5f80e4bbf4f8690c190f0b?pvs=21),台灣觀巴提案簡報,第三名,,Sunny,2025/02/18 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下excel需求會議,,,Sunny,2025/02/18 9:00 (GMT+8) → 10:00,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),開票頁面review,vicky (2/18已訂購三張單程票),,Echo,2025/02/18,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),進貨單資料維護頁面製作,,,姿樺,2025/02/18,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),複驗,成功結案,,"Echo, Sunny",2025/02/17 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院需求會議,,,Echo,2025/02/17 9:00 (GMT+8) → 9:40,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),需求會議,,,Echo,2025/02/17 9:00 (GMT+8) → 10:00,未开始,,,,,,Not started,,,,,,,,,,,,
iii Find科技服務工具 (https://www.notion.so/iii-Find-1842fd085e5f80daa2c0daaab0290832?pvs=21),扣點機制,2025/2/17(五)前資策會提供科技服務點數扣點機制與相關服務上架說明,,"Echo, Sunny",2025/02/17,未开始,,,,,,Not started,,,,,,,,,,,,
瓦協MIS維護 (https://www.notion.so/MIS-623719e63db34c33999dee33ebca6e67?pvs=21),二月MIS維護,,,Brian,2025/02/17,未开始,,,,,,Done,,,,,,,,,,,,
"25109 數轉院 行動智慧應用 輔導案 (淑姿) (https://www.notion.so/25109-17b2fd085e5f801e8ec1e7405c385765?pvs=21), 森福德 旅宿業 行動智慧應用推廣  (https://www.notion.so/1b52fd085e5f803fa421e9da1c036d2b?pvs=21)",(喬思齊&森福德&III) 行動智慧應用生態討論會議,https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTY1Y2Y5YTUtMjQxYi00YjBkLWFhODMtMzZjNmJiZTE2YjA2%40thread.v2/0?context=%7b%22Tid%22%3a%2246d33a5d-acec-4d74-969f-29a02daf8af0%22%2c%22Oid%22%3a%2217834a76-7b2d-4650-9fd3-9312e4153f98%22%7d,,"Echo, Sunny",2025/02/14 9:30 (GMT+8) → 11:00,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙ios開票頁面錄影,與業者確認開票頁面,,Echo,2025/02/14,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),品名資料維護頁面製作,,,姿樺,2025/02/14,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),ios測試,"回報問題
1.改路線名稱
2.訂單管理 (天數顯示改5日):增加”日”
3.訂購2/14出發車次訂單,明天錄影開票頁面與業者確認",,Echo,2025/02/13,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康測試,FQA/應用方案/開發工具,,Echo,2025/02/13,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),頁面製作,,,姿樺,2025/02/13,未开始,,,,,,Not started,,,,,,,,,,,,
金環球+亞買訊 / 移工旅遊 (https://www.notion.so/13d2fd085e5f802dbfd1ca54011690cf?pvs=21),靜態頁,,,Ing,2025/02/12,未开始,,,,,,Not started,,,,,,,,,,,,
台灣觀巴 網站及系統升級 (https://www.notion.so/1972fd085e5f80e4bbf4f8690c190f0b?pvs=21),台灣觀巴報價單初版,,,Echo,2025/02/12,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙需求會議,,,Echo,2025/02/12,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院內部需求會議,,,"Anita, Echo",2025/02/12,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙Bug處理,,,Echo,2025/02/12,未开始,,,,,,Not started,,,,,,,,,,,,
24130 今皓AI (https://www.notion.so/24130-AI-d494b455c347428481a734bd89d9e49a?pvs=21),今皓業務拜訪,with monica,,Sunny,2025/02/11 16:30 (GMT+8) → 17:30,未开始,,,,,,Not started,,,,,,,,,,,,
,神腦,"內湖區堤頂大道二段187號
AI  服務合作",,"Echo, Miles, Sunny",2025/02/11 13:30 (GMT+8) → 14:30,未开始,,,,,,Not started,,,,,,,,,,,,
,台灣好行,,,Sunny,2025/02/11 10:00 (GMT+8) → 11:00,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康B2C前後台,,,Brian,2025/02/11,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康教育訓練-應用方案/FAQ/開發工具,"因存檔有問題,改2/19",,Echo,2025/02/10 14:00 (GMT+8) → 2025/02/19 15:00 (GMT+8),未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),2/8需求討論,＋大會公告~最新消息,,"Anita, Echo, VC",2025/02/10 9:30 (GMT+8) → 10:00,未开始,,,,,,Not started,,,,,,,,,,,,
,"kiwi研究 ","參考https://dvcbot.atlassian.net/wiki/spaces/DW/pages/524515/User+Manual

喬思齊版
https://www.notion.so/1962fd085e5f8074bfd7d8b99338f15a?pvs=21",,Echo,2025/02/10 0:00 (GMT+8) → 2025/02/20 0:00 (GMT+8),未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),API文件提供,,,Jason,2025/02/10,未开始,,,,,,Not started,,,,,,,,,,,,
瓦協官網維護 (https://www.notion.so/10c2fd085e5f80b6a864c40913540cbe?pvs=21),瓦協官網調整需求,,,"Echo, Ing",2025/02/10,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),島嶼後台測試,"目前可測試的功能

11. 系統工具
11.1 參數設定
12. 系統管理
12.1 使用者資料維護
12.2 群組權限維護
12.3 店鋪資料維護

還有幾個沒更新上去的姿樺問問vincent要怎麼更新",,Echo,2025/02/10,未开始,,,,,,Not started,,,,,,,,,,,,
JustAI翻譯面板 (https://www.notion.so/JustAI-1452fd085e5f80569c79ce404b8e7e00?pvs=21),翻譯機器人英文版UI調整,,,"Echo, Ing, 小溫",2025/02/10,未开始,,,,,,Not started,,,,,,,,,,,,
,AI工具,新增頁面提示詞管理、商業分析工具模板、下載TXT功能,,姿樺,2025/02/10,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),需求會議,"會議主題：
1.首頁其他頁面確認
2.3/5前提供報表討論",,"Anita, Echo, VC",2025/02/07 10:30 (GMT+8) → 11:30,未开始,,,,,,Not started,,,,,,,,,,,,
環成資訊 (https://www.notion.so/18f2fd085e5f80a89198cc34b79d8f98?pvs=21),環成拜訪,,,Sunny,2025/02/07 10:30 (GMT+8) → 10:30,未开始,,,,,,Not started,,,,,,,,,,,,
睿德-宏捷節能 (https://www.notion.so/0e86b821d3944ae39e0ce7bfdff9777f?pvs=21),儀錶板,補資料及統計報表，預計完成 2/7,,Jason,2025/02/07,未开始,,,,,,Not started,,,,,,,,,,,,
,紘康教育訓練-產品上架/faq,資料準備,,Echo,2025/02/06 15:30 (GMT+8) → 16:30,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康進度內部會議,"盤點 

調整需求
1.篩選器：欄位如果是空的可不可以不要顯示",,"Echo, Sunny",2025/02/06 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),文策院內部需求會議,,,"Anita, Echo, Ing, Jason, Miles",2025/02/06 10:30 (GMT+8) → 11:30,未开始,,,,,,Not started,,,,,,,,,,,,
25106 搬家 (https://www.notion.so/25106-17e2fd085e5f80ffab19fb5a1ffc409b?pvs=21),約康福估價,,,Jean,2025/02/06,未开始,,,,,,Not started,,,,,,,,,,,,
花蓮 AI機器人 (https://www.notion.so/AI-6f10824118c349559179a1a0e43cd9d6?pvs=21),花蓮AI公文回函今早寄出,,,Anita,2025/02/06,未开始,,,,,,Not started,,,,,,,,,,,,
布農族競賽官網 (https://www.notion.so/1282fd085e5f80948875f97296431bb6?pvs=21),改底圖,,,"Ing, VC",2025/02/06,未开始,,,,,,Not started,,,,,,,,,,,,
JustAI翻譯面板 (https://www.notion.so/JustAI-1452fd085e5f80569c79ce404b8e7e00?pvs=21),英文版翻譯機器人圖製作,,,小溫,2025/02/06,未开始,,,,,,Not started,,,,,,,,,,,,
瓦協MIS維護 (https://www.notion.so/MIS-623719e63db34c33999dee33ebca6e67?pvs=21),官網維護費用 (2/12 匯款),,,Brian,2025/02/06,未开始,,,,,,Done,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),B2C客戶服務+產品應用,,,Brian,2025/02/06,未开始,,,,,,Not started,,,,,,,,,,,,
智能櫃 (https://www.notion.so/61527d3376744f71bf03ad10f4eeb527?pvs=21),新莊分局故障 2/11 17:00,,,Brian,2025/02/06,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙優化需求會議,跳蛙2.0優化需求排程會議,,Echo,2025/02/05 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
